SpecKey,Class,Spec,Role,BurstVsSustain,Mobility,Control,Complexity,PrimaryResource,Feel,RotationKeywords,CoreAbilities,SpecTalents,HeroTalents,PvPTalents
Priest_Shadow,Priest,Shadow,DPS,Sustain,Low,High,High,Insanity,Void cultist,"Vampiric Touch,Devouring Plague",Power Word: Shield; Smite; Psychic Scream; Fade,Vampiric Touch; Devouring Plague; Voidform,Oracle; Voidweaver; Archon,Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal
Rogue_Assass,Rogue,Assassination,DPS,Sustain,Very High,High,High,Energy/Combo Points,Poisoner,"Bleed maintenance,finishers",Stealth; Sap; Kick; Cloak of Shadows; Evasion,Mutilate; Envenom; Vendetta,Deathstalker; Buccaneer; Nightslayer,Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight
Rogue_Outlaw,Rogue,Outlaw,DPS,Burst,Very High,Medium,Medium,Energy/Combo Points,Swashbuckler,"Roll the Bones,proc tempo",Stealth; Sap; Kick; Cloak of Shadows; Evasion,Sinister Strike; Roll the Bones; Blade Flurry,Deathstalker; Buccaneer; Nightslayer,Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight
Rogue_Sub,Rogue,Subtlety,DPS,Burst,Very High,High,High,Energy/Combo Points,Shadow assassin,"Stealth opens,Shadow Dance",Stealth; Sap; Kick; Cloak of Shadows; Evasion,Shadowstrike; Eviscerate; Shadow Dance,Deathstalker; Buccaneer; Nightslayer,Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight
Shaman_Ele,Shaman,Elemental,DPS,Burst,Medium,Medium,Medium,Maelstrom,Stormcaller,"Lava Burst,Maelstrom procs",,,,
Shaman_Enh,Shaman,Enhancement,DPS,Burst/Sustain,Very High,Medium,High,Maelstrom/Energy,Battle shaman,"spell:17364,weapon procs",,,,
Shaman_Rest,Shaman,Restoration,Healer,Sustain,Low-Med,Medium,Medium,Mana,Tribal healer,"Totems,Chain Heal",,,,
Warlock_Aff,Warlock,Affliction,DPS,Sustain,Low,High,High,Soul Shards,Plague sorcerer,"Spread DoTs,drains",,,,
Warlock_Demo,Warlock,Demonology,DPS,Burst,Low-Med,Medium,Medium-High,Soul Shards,Warlock warlord,"Pet windows,summons",,,,
Warlock_Des,Warlock,Destruction,DPS,Burst,Low,Low,Medium,Soul Shards,Fel pyromancer,"Chaos Bolt,shard use",,,,
Warrior_Arms,Warrior,Arms,DPS,Burst,Low-Med,Low,Medium,Rage,Disciplined fighter,"Mortal Strike,Colossus",,,,
Warrior_Fury,Warrior,Fury,DPS,Sustain,High,Low,Medium,Rage,Berserker,"Rampage,Recklessness",,,,
Warrior_Prot,Warrior,Protection,Tank,Sustain,Low,Low-Med,Medium,Rage,Stalwart defender,"Shield Slam,active mitigation",,,,
