Class,Spec,CoreAbilities,SpecTalents,HeroTalents,PvPTalents
Evoker,Preservation,"Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze","Dream Breath; Spiritbloom; Rewind","Flameshaper; Chronowarden; Scalecommander","Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop"
Evoker,Augmentation,"Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze","Ebon Might; Upheaval; Breath of Eons","Flameshaper; Chronowarden; Scalecommander","Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop"
Hunter,Beast Mastery,"Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection","Kill Command; Bestial Wrath","Pack Leader; Dark Ranger; Sentinel","Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack"
Hunter,Marksmanship,"Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection","Aimed Shot; Rapid Fire; Volley","Pack Leader; Dark Ranger; Sentinel","Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack"
Hunter,Survival,"Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection","Raptor Strike; Wildfire Bomb","Pack Leader; Dark Ranger; Sentinel","Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack"
Mage,Arcane,"Polymorph; Blink; Counterspell; Ice Block; Spellsteal","Arcane Blast; Arcane Barrage; Touch of the Magi","Spellslinger; Sunfury; Frostfire","Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness"
Mage,Fire,"Polymorph; Blink; Counterspell; Ice Block; Spellsteal","Pyroblast; Combustion; Phoenix Flames","Spellslinger; Sunfury; Frostfire","Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness"
Mage,Frost,"Polymorph; Blink; Counterspell; Ice Block; Spellsteal","Frostbolt; Ice Lance; Icy Veins","Spellslinger; Sunfury; Frostfire","Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness"
Monk,Brewmaster,"Roll; Paralysis; Touch of Death; Fortifying Brew","Keg Smash; Purifying Brew","Shado-Pan; Clouded Focus; Stormstout","Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon"
Monk,Mistweaver,"Roll; Paralysis; Touch of Death; Fortifying Brew","Enveloping Mist; Essence Font","Shado-Pan; Clouded Focus; Stormstout","Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon"
Monk,Windwalker,"Roll; Paralysis; Touch of Death; Fortifying Brew","Rising Sun Kick; Fists of Fury","Shado-Pan; Clouded Focus; Stormstout","Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon"
Paladin,Holy,"Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings","Holy Shock; Light of Dawn","Lightsmith; Templar; Herald of the Sun","Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice"
Paladin,Protection,"Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings","Shield of the Righteous; Avenger’s Shield","Lightsmith; Templar; Herald of the Sun","Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice"
Paladin,Retribution,"Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings","Blade of Justice; Templar’s Verdict","Lightsmith; Templar; Herald of the Sun","Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice"
Priest,Discipline,"Power Word: Shield; Smite; Psychic Scream; Fade","Penance; Atonement","Oracle; Voidweaver; Archon","Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal"
Priest,Holy,"Power Word: Shield; Smite; Psychic Scream; Fade","Holy Word: Serenity; Prayer of Healing","Oracle; Voidweaver; Archon","Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal"
Priest,Shadow,"Power Word: Shield; Smite; Psychic Scream; Fade","Vampiric Touch; Devouring Plague; Voidform","Oracle; Voidweaver; Archon","Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal"
Rogue,Assassination,"Stealth; Sap; Kick; Cloak of Shadows; Evasion","Mutilate; Envenom; Vendetta","Deathstalker; Buccaneer; Nightslayer","Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight"
Rogue,Outlaw,"Stealth; Sap; Kick; Cloak of Shadows; Evasion","Sinister Strike; Roll the Bones; Blade Flurry","Deathstalker; Buccaneer; Nightslayer","Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight"
Rogue,Subtlety,"Stealth; Sap; Kick; Cloak of Shadows; Evasion","Shadowstrike; Eviscerate; Shadow Dance","Deathstalker; Buccaneer; Nightslayer","Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight"
Rogue,Subtlety,"Stealth; Sap; Kick; Cloak of Shadows; Evasion","Shadowstrike; Eviscerate; Shadow Dance","Deathstalker; Buccaneer; Nightslayer","Smoke Bomb; Maneuverability; Dismantle; Control is King; Veil of Midnight"
